Kode Barang,Warna,   AS,   S,  M, L, XL, XXL,06,08,10,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
BEC 102,SGB,,,,,,,,,,,,,,,,,,,,,3,3,3,4,4,8,,,,,,,
BEC 103,SGB,,,,,,,,,,,,,,,,,,,,4,2,4,3,2,1,3,,,,,,,
BEC 104,SGB,,,,,,,,,,,,,,,,,,,,5,4,5,5,6,4,1,,,,,,,
BHC 240,SGB,,,,,,,,,,4,7,6,7,8,8,,,,,,,,,,,,,,,,,,
BHC 241,SGB,,,,,,,,,,2,6,3,4,5,2,,,,,,,,,,,,,,,,,,
BHC 242,SGB,,,,,,,,,,,,,,,3,6,5,4,7,,,,,,,,,,,,,,
BHC 246,SGB,,,,,,,,,,,,,,,,,,,4,5,8,4,6,6,,,,,,,,,
BMC 571,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,11,10,4,3,
BMC 572,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,5,5,4,7,
BRC 405,SGB,,,22,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRC 602,SGB,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRC 607,SGB,,,36,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRC 613,SGB,,,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRC 615,SGB,,,19,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSC 208,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,7,4,6,9
BSC 209,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,6,7,6,4
BSC 210,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,7,4
BSC 700,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,14,10,11,5,4,
BSC 701,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,2,7,4,6,
BSC 702,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,7,7,6,4,
BSC 703,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,10,9,6,4,
BSC 704,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,8,5,5,4,
BSC 705,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,8,2,2,5,
BSC 706,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,11,8,3,6,
BSC 708,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,7,5,3,3,
BSC 709,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,4,4,7,1,
BSC 711,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,6,5,3,4,
BSC 712,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,7,4,3,4,
BSC 720,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,5,6,4,3,
BSC 723,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,6,5,5,
BSC 724,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,3,6,4,1,
BSC 726,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,6,3,4,10,
BSC 727,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,5,7,4,
BSC 728,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,4,6,4,
BSC 729,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,3,6,2,2,
BSC 734,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,6,7,5,
BSC 735,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,6,7,4,4,
BSC 740,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,4,5,4,
BSC 741,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,6,7,4,4,
BSC 743,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,6,4,5,5,8,3,
BSC 744,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,8,5,7,6,5,
BSC 745,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,6,9,7,4,
BSC 746,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,2,5,
BSC 747,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,7,4,4,
BSC 748,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,10,6,4,5,
BSC 749,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,5,4,3,
BSC 750,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,8,6,5,
BSC 751,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,6,6,6,2,
BSC 752,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,4,5,3,3,
BSC 753,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,5,6,4,5,
BSC 754,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,4,3,2,
BSC 755,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,7,5,6,4,
BSC 756,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3,1,1,4,
BSC 757,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,8,5,5,
BSC 758,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,6,4,5,4,
BSC 759,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,4,4,2,
BSC 760,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5,4,6,3,4,
BSC 810,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2,3,1,6,5,
BSC 811,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,3,1,3,4,
BSC 813,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,10,7,4,7,4,
BSC 815,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,4,3,3,0,
BSC 816,SGB,,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,7,5,4,4,
BTC 067,SGB,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 079,SGB,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 080,SGB,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 090,SGB,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 093,SGB,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 131,SGB,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 132,SGB,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 136,SGB,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 804,SGB,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 816,SGB,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 818,SGB,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 819,SGB,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 821,SGB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 822,SGB,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 823,SGB,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 824,SGB,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 825,SGB,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 826,SGB,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BTC 827,SGB,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBC 701,SGB,,,,,,,,,,,,,,,,,,,,,,,,,5,5,4,2,4,,,,
CBC 705,SGB,,,,,,,,,,,,,,,,,,,,,,,,,3,3,2,3,0,,,,
CNC 392,SGB,,,,,,,,,,,,,,,,,,,,5,2,11,1,6,14,,,,,,,,
CNC 393,SGB,,,,,,,,,,,,,,,,,,,,3,4,8,6,11,11,,,,,,,,
CNC 394,SGB,,,,,,,,,,,,,,,,,,,,4,13,5,8,4,3,,,,,,,,
CNC 395,SGB,,,,,,,,,,,,,,,,,,,,0,1,5,3,4,6,,,,,,,,
CNC 397,SGB,,,,,,,,,,,,,,,,,,,,,7,3,4,6,3,,,,,,,,
CNC 400,SGB,,,,,,,,,,,,,,,,,,,,8,4,10,7,7,7,,,,,,,,
CNC 403,SGB,,,,,,,,,,,,,,,,,,,,-1,-1,2,2,4,2,,,,,,,,
CNC 408,SGB,,,,,,,,,,,,,,,,,,,,1,7,6,5,4,6,,,,,,,,
CNC 410,SGB,,,,,,,,,,,,,,,,,,,,2,3,3,4,1,,,,,,,,,
CPC 804,SGB,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPC 810,SGB,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPC 811,SGB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPC 818,SGB,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
